"soc_uby","unitbox","unit","nest","year","exclude","fband","mband","fRFID","mRFID","fage","experiment","color","challenge","full_treatment","fbbright","fbase1","fstr1","fdex1","fbase2","fbase3","fstr3","fdex3","fbgluc1","fsgluc1","fbgluc2","fbgluc3","fsgluc3","fBUTY1","fBUTY2","fBUTY3","ci_date","comp_date","hatch_date","clutch","maxbrood","numd6","d6_bmass","d6_av_mass","numband","d12_av_mass","d12_av_hb","d12_av_wing","num_d15","d15_av_mass","numfled","fmass1","fwing1","fhb1","fmass2","fmass3","fwing3","fhb3","mmass","mwing","mhb","cap1","cap2","cap3","mcap","nest_fate","end_soc_date","fate_date","site_nest","predator","dull"
"2_124_2018","2_124",2,124,2018,"",272108041,272107503,"04198E75E0","041917B99C","ASY","color_challenge","Dull","Control","Dull_Control",58.4,2.5,24.9,10.7,2.4,1.9,19.1,6.9,248,208,163,201,212,0.48,0.36,NA,129,134,148,6,6,5,74,14.8,2,18.8,24.5,40,2,17.6,2,22,122,28.7,22,20,118,28.7,19.5,125,28.7,140,149,154,154,"Fledged",163,172,"Unit_2_124_2018","Control","Dull"
"2_22_2018","2_22",2,22,2018,"",272106635,263113739,"04198E5932","04186E9934","SY","color_challenge","Control","Control","Control_Control",57.7,2.5,35.7,7.4,1.3,5.8,46.4,9.3,237,332,242,203,NA,0.38,NA,NA,131,135,149,5,5,5,61,12.2,5,18.7,24.9,48.1,5,18,5,20,118,28.5,20,16.5,116.5,28.4,21.5,124,29,141,150,155,160,"Fledged",164,173,"Unit_2_22_2018","Control","Control"
"2_109_2018","2_109",2,109,2018,"",272107739,272107688,"04195973B5","04198E4E18","ASY","color_challenge","Control","Predator","Control_Predator",NA,0.1,18.4,9.2,0.5,1,25.9,13.6,273,270,265,198,233,0.53,NA,NA,129,134,149,6,5,4,42,10.5,2,19.3,22.5,35,2,17.9,2,18.5,109,28.2,18.5,16,109,28.1,19,121,28.7,140,150,155,155,"Fledged",164,173,"Unit_2_109_2018","Predation","Control"
"2_35_2019","2_35",2,35,2019,"",272107805,278171878,"04198E93C3","04198E5555","ASY","challenge_color","Predator","Dull","Dull_Predator",46.2,0.5,27.7,8.6,5.8,5.3,57.1,104.1,256,233,223,NA,188,NA,NA,NA,129,133,149,5,5,5,55,11,5,18.5,25.3,50,4,17.1,2,22,114.5,28.4,19.8,18,114,20.7,18.3,116,28.9,140,145,155,155,"Fledged",164,173,"Unit_2_35_2019","Predation","Dull"
"2_103_2019","2_103",2,103,2019,"",272107786,272106664,"04198E21F5","04198EAB87","ASY","challenge_color","Control","Control","Control_Control",43.8,3.7,20.5,9,1.1,2.6,31.1,35.3,178,203,186,237,245,NA,NA,NA,129,134,149,6,6,6,54,9,6,21.9,25.5,49.4,6,16.4,5,23,115.5,27.6,23.3,18.5,117,28,20,121,28.5,140,146,155,155,"Fledged",164,173,"Unit_2_103_2019","Control","Control"
"2_8_2018","2_8",2,8,2018,"",272106902,272107789,"04198EA7FC","04198E2C1D","SY","color_challenge","Dull","Control","Dull_Control",55.7,1.8,14,11.7,1.2,1.2,19.7,6.6,221,238,106,233,235,0.4,0.61,NA,132,137,151,6,5,4,37,9.3,4,22,25.3,48.8,3,18.8,3,21.5,119,28.8,20,18.3,117,28.5,20,119,28.7,143,153,158,157,"Fledged",166,175,"Unit_2_8_2018","Control","Dull"
"2_12_2018","2_12",2,12,2018,"",272107748,272107816,"0419599DAD","04198E15CA","ASY","color_challenge","Control","Control","Control_Control",58.6,13,7.1,8.7,0.7,1.8,14.5,9.5,204,250,222,205,292,NA,NA,NA,132,137,151,6,6,6,63,10.5,6,21.4,25.4,57.4,6,16.3,6,21.5,123.5,29.3,22,19,121,29.2,17.3,121,28.5,143,152,159,159,"Fledged",166,175,"Unit_2_12_2018","Control","Control"
"2_14_2018","2_14",2,14,2018,"",272106905,999999995,"04198E650B","","SY","color_challenge","Dull","Predator","Dull_Predator",54.2,7.1,55.9,21,0,5.5,45.1,16.5,222,228,191,183,238,0.38,NA,0.28,133,137,151,5,3,3,21,7,3,21.1,24.5,41.7,3,17.6,2,19,112,28.2,20,17,110,28.3,22.4,124,28.4,143,152,159,160,"Fledged",166,175,"Unit_2_14_2018","Predation","Dull"
"2_34_2018","2_34",2,34,2018,"",272107805,272107815,"04198E93C3","04198E1020","ASY","color_challenge","Dull","Control","Dull_Control",41.5,0.9,46.6,14.8,1.7,0.6,49,25.3,173,226,201,205,NA,0.43,NA,NA,133,137,151,5,4,4,32,8,4,18.8,23.7,41.5,4,15.6,4,20.5,115,28.4,20,16.8,114,28.3,18,120,29.7,143,152,159,159,"Fledged",166,175,"Unit_2_34_2018","Control","Dull"
"2_38_2018","2_38",2,38,2018,"",272107806,232173070,"04198E1000","041868F39C","SY","color_challenge","Control","Control","Control_Control",39.9,2.6,47.1,13.4,0.2,1.5,43.7,22,219,224,192,209,246,0.46,NA,NA,133,137,151,5,5,5,58,11.6,5,23,25.5,53.2,5,18.5,5,23.3,122,29.3,23.3,20,121,29.2,19,117,28.3,143,152,159,159,"Fledged",166,175,"Unit_2_38_2018","Control","Control"
