"year","band","exclude","soc_un","soc_box","soc_ubox","soc_uby","laid_un","laid_box","laid_ubox","laid_uby","lay_clutch","gen_dad_uby","soc_ci","gen_ci","sex","in_xfost_exp","raised_nest","soc_mom","gen_mom","soc_dad_raised","soc_dad_laid","gen_dad","d12_mass","d12_wing","d12_head","d12_bgluc","d12_sgluc","d12_dgluc","d15_acgluc","d12_lat","d12_time_mins","d15_mass","d15_time_mins","d12_base","d12_stress","d12_dex","d15_acth","note","unitbox","unit","nest","fband","mband","fRFID","mRFID","fage","experiment","color","challenge","full_treatment","fbbright","fbase1","fstr1","fdex1","fbase2","fbase3","fstr3","fdex3","fbgluc1","fsgluc1","fbgluc2","fbgluc3","fsgluc3","fBUTY1","fBUTY2","fBUTY3","ci_date","comp_date","hatch_date","clutch","maxbrood","numd6","d6_bmass","d6_av_mass","numband","d12_av_mass","d12_av_hb","d12_av_wing","num_d15","d15_av_mass","numfled","fmass1","fwing1","fhb1","fmass2","fmass3","fwing3","fhb3","mmass","mwing","mhb","cap1","cap2","cap3","mcap","nest_fate","end_soc_date","fate_date","site_nest","predator","dull"
2018,156181149,"",1,12,"1_12","1_12_2018",1,"12","1_12","1_12_2018",6,"1_12_2018",138,138,"M","yes","home",272107794,"272107794","272107345","272107345",272107345,20.5,49.5,26,NA,NA,NA,NA,150,767,20.5,561,2.6,47.5,7,21,"","1_12",1,12,272107794,272107345,"04198E11D8","04198E071F","SY","color_challenge","Control","Control","Control_Control",50.6,1.3,20,12.5,1.5,2.6,12.9,10.6,190,215,211,260,254,0.49,NA,0.63,138,143,158,6,6,6,71,11.8,5,15.8,24.4,42.5,4,18.3,1,22,113,28.6,19.5,18.5,113,28.9,18.5,121,28.6,149,159,164,164,"Fledged",173,182,"Unit_1_12_2018","Control","Control"
2018,156181148,"",1,12,"1_12","1_12_2018",1,"12","1_12","1_12_2018",6,"1_32_2018",138,132,"F","yes","home",272107794,"272107794","272107345","272107345",88004790,16.5,43,23.4,NA,NA,NA,NA,171,767,16.5,561,19.6,78.6,10.4,29.7,"","1_12",1,12,272107794,272107345,"04198E11D8","04198E071F","SY","color_challenge","Control","Control","Control_Control",50.6,1.3,20,12.5,1.5,2.6,12.9,10.6,190,215,211,260,254,0.49,NA,0.63,138,143,158,6,6,6,71,11.8,5,15.8,24.4,42.5,4,18.3,1,22,113,28.6,19.5,18.5,113,28.9,18.5,121,28.6,149,159,164,164,"Fledged",173,182,"Unit_1_12_2018","Control","Control"
2018,156181146,"",1,12,"1_12","1_12_2018",1,"12","1_12","1_12_2018",6,"1_32_2018",138,132,"F","yes","home",272107794,"272107794","272107345","272107345",88004790,16.5,45,24.8,NA,NA,NA,NA,87,767,18.5,561,3.7,51.2,22.6,35.1,"","1_12",1,12,272107794,272107345,"04198E11D8","04198E071F","SY","color_challenge","Control","Control","Control_Control",50.6,1.3,20,12.5,1.5,2.6,12.9,10.6,190,215,211,260,254,0.49,NA,0.63,138,143,158,6,6,6,71,11.8,5,15.8,24.4,42.5,4,18.3,1,22,113,28.6,19.5,18.5,113,28.9,18.5,121,28.6,149,159,164,164,"Fledged",173,182,"Unit_1_12_2018","Control","Control"
2018,156181147,"",1,12,"1_12","1_12_2018",1,"12","1_12","1_12_2018",6,"1_32_2018",138,132,"M","yes","home",272107794,"272107794","272107345","272107345",88004790,17.5,44,25.2,NA,NA,NA,NA,144,767,17.5,561,0.8,59.7,11.1,40.2,"","1_12",1,12,272107794,272107345,"04198E11D8","04198E071F","SY","color_challenge","Control","Control","Control_Control",50.6,1.3,20,12.5,1.5,2.6,12.9,10.6,190,215,211,260,254,0.49,NA,0.63,138,143,158,6,6,6,71,11.8,5,15.8,24.4,42.5,4,18.3,1,22,113,28.6,19.5,18.5,113,28.9,18.5,121,28.6,149,159,164,164,"Fledged",173,182,"Unit_1_12_2018","Control","Control"
2018,156181145,"",1,12,"1_12","1_12_2018",1,"12","1_12","1_12_2018",6,"1_32_2018",138,132,"M","yes","home",272107794,"272107794","272107345","272107345",88004790,8,31,22.5,NA,NA,NA,NA,96,767,NA,NA,26.9,20.3,NA,NA,"","1_12",1,12,272107794,272107345,"04198E11D8","04198E071F","SY","color_challenge","Control","Control","Control_Control",50.6,1.3,20,12.5,1.5,2.6,12.9,10.6,190,215,211,260,254,0.49,NA,0.63,138,143,158,6,6,6,71,11.8,5,15.8,24.4,42.5,4,18.3,1,22,113,28.6,19.5,18.5,113,28.9,18.5,121,28.6,149,159,164,164,"Fledged",173,182,"Unit_1_12_2018","Control","Control"
2018,272107695,"",1,121,"1_121","1_121_2018",1,"121","1_121","1_121_2018",6,"",134,NA,"F","yes","home",272107750,"272107750","272106615","272106615",NA,13.5,25,21.5,NA,NA,NA,NA,180,754,14.25,544,5.1,9.5,NA,45.8,"","1_121",1,121,272107750,272106615,"041959A644","041917B3EC","ASY","color_challenge","Dull","Predator","Dull_Predator",33.9,0.3,21.3,9.5,0.3,0.7,15,8.4,228,258,201,220,338,0.33,0.48,0.32,134,139,153,6,6,3,12.7,4.2,2,13.3,21.7,25.5,2,15.1,2,23.5,118,28.3,21,19.5,112,27.8,NA,NA,NA,145,154,159,166,"Fledged",168,177,"Unit_1_121_2018","Predation","Dull"
2018,272107694,"",1,121,"1_121","1_121_2018",1,"69","1_69","1_69_2018",5,"",134,NA,"F","yes","cross",272107750,"272107808","272106615","185746899",NA,13,26,21.8,NA,NA,NA,NA,177,754,16,544,8.3,14.1,3.2,16.8,"","1_121",1,121,272107750,272106615,"041959A644","041917B3EC","ASY","color_challenge","Dull","Predator","Dull_Predator",33.9,0.3,21.3,9.5,0.3,0.7,15,8.4,228,258,201,220,338,0.33,0.48,0.32,134,139,153,6,6,3,12.7,4.2,2,13.3,21.7,25.5,2,15.1,2,23.5,118,28.3,21,19.5,112,27.8,NA,NA,NA,145,154,159,166,"Fledged",168,177,"Unit_1_121_2018","Predation","Dull"
2018,272107827,"",1,17,"1_17","1_17_2018",1,"17","1_17","1_17_2018",5,"1_32_2018",138,132,"M","yes","home",272107153,"272107153","156181128","156181128",88004790,13.8,33,22.6,NA,NA,NA,NA,117,778,NA,NA,2.7,35,7.8,NA,"","1_17",1,17,272107153,156181128,"04198E04BA","04198E1028","SY","color_challenge","Control","Predator","Control_Predator",53.6,1.7,31.4,18,2.5,2.4,29.6,17.7,280,274,217,144,241,0.22,NA,0.51,136,140,154,5,5,5,50,10,4,11.9,22.2,30.3,0,NA,0,22,115.5,29.4,20,20,117,28.9,20.5,123,29.1,146,155,160,160,"Died",168,168,"Unit_1_17_2018","Predation","Control"
2018,272107828,"",1,17,"1_17","1_17_2018",1,"17","1_17","1_17_2018",5,"1_17_2018",138,138,"M","yes","home",272107153,"272107153","156181128","156181128",156181128,11.8,30,22,NA,NA,NA,NA,167,778,NA,NA,2,11.2,4.9,NA,"","1_17",1,17,272107153,156181128,"04198E04BA","04198E1028","SY","color_challenge","Control","Predator","Control_Predator",53.6,1.7,31.4,18,2.5,2.4,29.6,17.7,280,274,217,144,241,0.22,NA,0.51,136,140,154,5,5,5,50,10,4,11.9,22.2,30.3,0,NA,0,22,115.5,29.4,20,20,117,28.9,20.5,123,29.1,146,155,160,160,"Died",168,168,"Unit_1_17_2018","Predation","Control"
2018,272107826,"",1,17,"1_17","1_17_2018",1,"85","1_85","1_85_2018",5,"1_85_2018",136,136,"M","yes","cross",272107153,"272106711","156181128","272107529",272107529,13,31,21.1,NA,NA,NA,NA,48,778,NA,NA,2.1,9.4,4.3,NA,"","1_17",1,17,272107153,156181128,"04198E04BA","04198E1028","SY","color_challenge","Control","Predator","Control_Predator",53.6,1.7,31.4,18,2.5,2.4,29.6,17.7,280,274,217,144,241,0.22,NA,0.51,136,140,154,5,5,5,50,10,4,11.9,22.2,30.3,0,NA,0,22,115.5,29.4,20,20,117,28.9,20.5,123,29.1,146,155,160,160,"Died",168,168,"Unit_1_17_2018","Predation","Control"
